LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2008-2010,Percent,0.091
State,Kentucky,2009-2011,Percent,0.09
State,Kentucky,2010-2012,Percent,0.09
State,Kentucky,2011-2013,Percent,0.088
State,Kentucky,2012-2014,Percent,0.087
State,Kentucky,2013-2015,Percent,0.087
State,Kentucky,2014-2016,Percent,0.08828
State,Kentucky,2015-2017,Percent,0.088
County,Adair,2008-2010,Percent,0.074
County,Adair,2009-2011,Percent,0.081
County,Adair,2010-2012,Percent,0.081
County,Adair,2011-2013,Percent,0.073
County,Adair,2012-2014,Percent,0.081
County,Adair,2013-2015,Percent,0.078
County,Adair,2014-2016,Percent,0.09531
County,Adair,2015-2017,Percent,0.088
County,Allen,2008-2010,Percent,0.075
County,Allen,2009-2011,Percent,0.092
County,Allen,2010-2012,Percent,0.084
County,Allen,2011-2013,Percent,0.093
County,Allen,2012-2014,Percent,0.094
County,Allen,2013-2015,Percent,0.112
County,Allen,2014-2016,Percent,0.11421
County,Allen,2015-2017,Percent,0.108
County,Anderson,2008-2010,Percent,0.096
County,Anderson,2009-2011,Percent,0.107
County,Anderson,2010-2012,Percent,0.102
County,Anderson,2011-2013,Percent,0.087
County,Anderson,2012-2014,Percent,0.073
County,Anderson,2013-2015,Percent,0.075
County,Anderson,2014-2016,Percent,0.07015
County,Anderson,2015-2017,Percent,0.08
County,Ballard,2008-2010,Percent,0.152
County,Ballard,2009-2011,Percent,0.091
County,Ballard,2010-2012,Percent,0.073
County,Ballard,2011-2013,Percent,0.086
County,Ballard,2012-2014,Percent,0.086
County,Ballard,2013-2015,Percent,0.104
County,Ballard,2014-2016,Percent,0.08197
County,Ballard,2015-2017,Percent,0.068
County,Barren,2008-2010,Percent,0.087
County,Barren,2009-2011,Percent,0.072
County,Barren,2010-2012,Percent,0.075
County,Barren,2011-2013,Percent,0.073
County,Barren,2012-2014,Percent,0.076
County,Barren,2013-2015,Percent,0.086
County,Barren,2014-2016,Percent,0.07759
County,Barren,2015-2017,Percent,0.081
County,Bath,2008-2010,Percent,0.106
County,Bath,2009-2011,Percent,0.111
County,Bath,2010-2012,Percent,0.104
County,Bath,2011-2013,Percent,0.09
County,Bath,2012-2014,Percent,0.079
County,Bath,2013-2015,Percent,0.087
County,Bath,2014-2016,Percent,0.08967
County,Bath,2015-2017,Percent,0.089
County,Bell,2008-2010,Percent,0.1
County,Bell,2009-2011,Percent,0.103
County,Bell,2010-2012,Percent,0.104
County,Bell,2011-2013,Percent,0.099
County,Bell,2012-2014,Percent,0.098
County,Bell,2013-2015,Percent,0.102
County,Bell,2014-2016,Percent,0.1049
County,Bell,2015-2017,Percent,0.1
County,Boone,2008-2010,Percent,0.074
County,Boone,2009-2011,Percent,0.071
County,Boone,2010-2012,Percent,0.072
County,Boone,2011-2013,Percent,0.078
County,Boone,2012-2014,Percent,0.072
County,Boone,2013-2015,Percent,0.072
County,Boone,2014-2016,Percent,0.0694
County,Boone,2015-2017,Percent,0.07
County,Bourbon,2008-2010,Percent,0.09
County,Bourbon,2009-2011,Percent,0.106
County,Bourbon,2010-2012,Percent,0.105
County,Bourbon,2011-2013,Percent,0.096
County,Bourbon,2012-2014,Percent,0.093
