"","location","timeframe","lbw_pct","septile"
"1","Adair","2015-2017",8.8,"4"
"2","Allen","2015-2017",10.8,"6"
"3","Anderson","2015-2017",8,"3"
"4","Ballard","2015-2017",6.8,"2"
"5","Barren","2015-2017",8.1,"3"
"6","Bath","2015-2017",8.9,"4"
"7","Bell","2015-2017",10,"5"
"8","Boone","2015-2017",7,"2"
"9","Bourbon","2015-2017",7.6,"3"
"10","Boyd","2015-2017",9.5,"4"
"11","Boyle","2015-2017",8.1,"3"
"12","Bracken","2015-2017",10.3,"5"
"13","Breathitt","2015-2017",10.8,"6"
"14","Breckinridge","2015-2017",7.7,"3"
"15","Bullitt","2015-2017",7.9,"3"
"16","Butler","2015-2017",6.7,"2"
"17","Caldwell","2015-2017",9.1,"4"
"18","Calloway","2015-2017",6.9,"2"
"19","Campbell","2015-2017",7.8,"3"
"20","Carlisle","2015-2017",6.7,"2"
"21","Carroll","2015-2017",9.2,"4"
"22","Carter","2015-2017",8.1,"3"
"23","Casey","2015-2017",8.5,"4"
"24","Christian","2015-2017",9.7,"5"
"25","Clark","2015-2017",9.2,"4"
"26","Clay","2015-2017",9.3,"4"
"27","Clinton","2015-2017",7.9,"3"
"28","Crittenden","2015-2017",6.1,"1"
"29","Cumberland","2015-2017",8.3,"3"
"30","Daviess","2015-2017",7.8,"3"
"31","Edmonson","2015-2017",7.4,"3"
"32","Elliott","2015-2017",9.9,"5"
"33","Estill","2015-2017",7.9,"3"
"34","Fayette","2015-2017",8.3,"3"
"35","Fleming","2015-2017",5.5,"1"
"36","Floyd","2015-2017",10.2,"5"
"37","Franklin","2015-2017",9.4,"4"
"38","Fulton","2015-2017",10.5,"5"
"39","Gallatin","2015-2017",8.2,"3"
"40","Garrard","2015-2017",9.7,"5"
"41","Grant","2015-2017",9.4,"4"
"42","Graves","2015-2017",7.6,"3"
"43","Grayson","2015-2017",9.2,"4"
"44","Green","2015-2017",8,"3"
"45","Greenup","2015-2017",7.5,"3"
"46","Hancock","2015-2017",7,"2"
"47","Hardin","2015-2017",8.2,"3"
"48","Harlan","2015-2017",11.4,"6"
"49","Harrison","2015-2017",8,"3"
"50","Hart","2015-2017",8.3,"3"
"51","Henderson","2015-2017",11,"6"
"52","Henry","2015-2017",9.4,"4"
"53","Hickman","2015-2017",9,"4"
"54","Hopkins","2015-2017",8.1,"3"
"55","Jackson","2015-2017",10.1,"5"
"56","Jefferson","2015-2017",9.3,"4"
"57","Jessamine","2015-2017",9.4,"4"
"58","Johnson","2015-2017",9.6,"5"
"59","Kenton","2015-2017",9.1,"4"
"60","Knott","2015-2017",7.9,"3"
"61","Knox","2015-2017",11.4,"6"
"62","Larue","2015-2017",10.4,"5"
"63","Laurel","2015-2017",7.8,"3"
"64","Lawrence","2015-2017",8.3,"3"
"65","Lee","2015-2017",8.2,"3"
"66","Leslie","2015-2017",9.9,"5"
"67","Letcher","2015-2017",10.9,"6"
"68","Lewis","2015-2017",9.4,"4"
"69","Lincoln","2015-2017",9.5,"4"
"70","Livingston","2015-2017",6.9,"2"
"71","Logan","2015-2017",6.1,"1"
"72","Lyon","2015-2017",5.1,"1"
"73","Madison","2015-2017",9.8,"5"
"74","Magoffin","2015-2017",11.9,"7"
"75","Marion","2015-2017",7.9,"3"
"76","Marshall","2015-2017",9.4,"4"
"77","Martin","2015-2017",10.6,"5"
"78","Mason","2015-2017",8.5,"4"
"79","McCracken","2015-2017",8.8,"4"
"80","McCreary","2015-2017",10.1,"5"
"81","McLean","2015-2017",12.1,"7"
"82","Meade","2015-2017",7.3,"2"
"83","Menifee","2015-2017",8.9,"4"
"84","Mercer","2015-2017",8.9,"4"
"85","Metcalfe","2015-2017",8.3,"3"
"86","Monroe","2015-2017",10.8,"6"
"87","Montgomery","2015-2017",9.9,"5"
"88","Morgan","2015-2017",10.6,"5"
"89","Muhlenberg","2015-2017",7.9,"3"
"90","Nelson","2015-2017",7.4,"3"
"91","Nicholas","2015-2017",10.1,"5"
"92","Ohio","2015-2017",8.3,"3"
"93","Oldham","2015-2017",6.5,"2"
"94","Owen","2015-2017",8.9,"4"
"95","Owsley","2015-2017",7.8,"3"
"96","Pendleton","2015-2017",8.9,"4"
"97","Perry","2015-2017",10.4,"5"
"98","Pike","2015-2017",10.1,"5"
"99","Powell","2015-2017",9.4,"4"
"100","Pulaski","2015-2017",9,"4"
"101","Robertson","2015-2017",NA,NA
"102","Rockcastle","2015-2017",10.4,"5"
"103","Rowan","2015-2017",9.9,"5"
"104","Russell","2015-2017",8.8,"4"
"105","Scott","2015-2017",8.5,"4"
"106","Shelby","2015-2017",8.4,"3"
"107","Simpson","2015-2017",8.9,"4"
"108","Spencer","2015-2017",8,"3"
"109","Taylor","2015-2017",9.6,"5"
"110","Todd","2015-2017",9.8,"5"
"111","Trigg","2015-2017",6.6,"2"
"112","Trimble","2015-2017",8,"3"
"113","Union","2015-2017",12.9,"7"
"114","Warren","2015-2017",8.6,"4"
"115","Washington","2015-2017",7.8,"3"
"116","Wayne","2015-2017",9.9,"5"
"117","Webster","2015-2017",12.4,"7"
"118","Whitley","2015-2017",11.3,"6"
"119","Wolfe","2015-2017",9.9,"5"
"120","Woodford","2015-2017",8.5,"4"
